DISIni CFPassi CFMosse CFTempo ManPassi ManMosse ManTempo ManInvPassi ManInvMosse ManInvTempo ASPassi ASMosse ASTempo
15 1781 141 7.769580125808716 16 15 0.001999378204345703 14 15 0.0029973983764648438 14 15 0.0039980411529541016 
15 5001 5001 56.203418016433716 14 15 0.001997232437133789 14 15 0.0040073394775390625 14 15 0.00299835205078125 
15 2855 177 21.520568370819092 14 15 0.0009989738464355469 14 15 0.0030164718627929688 14 15 0.0039975643157958984 
15 1492 121 5.51878809928894 14 15 0.0029973983764648438 14 15 0.014001846313476562 14 15 0.005985736846923828 
15 1511 97 6.62118673324585 17 15 0.001990079879760742 14 15 0.002997875213623047 14 15 0.003997802734375 
15 318 33 0.2808258533477783 14 15 0.0019974708557128906 14 15 0.003998279571533203 14 15 0.0039975643157958984 
15 1037 91 2.670456886291504 14 15 0.0019986629486083984 14 15 0.002997875213623047 14 15 0.00299835205078125 
15 1741 83 7.002967357635498 17 15 0.001985788345336914 14 15 0.003998756408691406 14 15 0.0030074119567871094 
15 1130 141 3.0692172050476074 16 15 0.003998279571533203 14 15 0.003996372222900391 14 15 0.002998828887939453 
15 2023 121 10.032420635223389 16 15 0.001985788345336914 14 15 0.0039980411529541016 14 15 0.004010438919067383 
15 887 141 1.876702070236206 16 15 0.0019855499267578125 14 15 0.0039980411529541016 14 15 0.003997325897216797 
15 3374 225 25.7808039188385 16 15 0.0019986629486083984 14 15 0.0029973983764648438 14 15 0.002992391586303711 
15 417 97 0.41876935958862305 14 15 0.0010044574737548828 14 15 0.003998994827270508 14 15 0.0030150413513183594 
15 1454 151 4.997942924499512 17 15 0.003996610641479492 14 15 0.003995418548583984 14 15 0.0029990673065185547 
15 550 89 0.722620964050293 17 15 0.001986980438232422 14 15 0.0029990673065185547 14 15 0.003997087478637695 
15 3773 195 33.71477270126343 14 15 0.002002716064453125 14 15 0.004011392593383789 14 15 0.0029840469360351562 
15 2067 125 9.231064796447754 16 15 0.0019867420196533203 14 15 0.002997875213623047 14 15 0.003015756607055664 
15 4564 247 45.00024724006653 14 15 0.0020170211791992188 14 15 0.003997802734375 14 15 0.002993345260620117 
15 1609 125 5.630407810211182 14 15 0.0020036697387695312 14 15 0.002994060516357422 14 15 0.003016233444213867 
15 5001 5001 54.765280961990356 14 15 0.0020101070404052734 14 15 0.0029878616333007812 14 15 0.004022359848022461 
